Id,Predicted
5895,0.945013
7122,0.829343
6173,0.872221
6142,0.860853
5358,0.843903
6095,0.960699
6878,0.912735
6554,0.883797
6793,0.827349
7286,0.835996
6076,0.809857
5134,0.871867
5419,0.748771
6255,0.854198
5656,0.832220
6934,0.797987
6028,0.863079
6490,0.735422
6415,0.902850
7087,0.932416
5420,0.787000
5977,0.888680
6824,0.966358
5207,0.781463
7115,0.774608
7250,0.969974
6010,1.000000
6088,0.884958
5682,1.000000
7201,1.000000
6938,0.804763
6875,0.968448
5953,1.000000
5942,0.831329
5382,0.940355
6377,0.954839
5931,0.782992
5992,1.000000
5790,0.914631
6753,0.971056
6562,0.933284
7046,0.770870
5784,0.720679
5868,0.947094
5878,0.791047
5110,0.810468
5210,0.790227
7230,0.900073
5005,0.875784
6871,0.845259
5363,0.872049
7253,0.974735
5072,0.863337
6055,0.892730
6913,0.908900
6386,0.911759
5634,0.852668
5758,0.738313
6819,0.955847
7088,0.847927
5039,0.812304
6037,0.785040
5532,0.937171
6322,0.805391
6887,0.763818
6660,0.924548
5451,0.830556
6014,0.864757
5556,0.802494
6346,0.929700
5850,0.971902
5940,0.915601
7119,0.976398
6851,0.854708
5253,0.847418
6695,0.923413
6908,0.882315
7255,0.856791
5674,0.899580
6278,0.841823
5486,0.868820
5174,0.939927
6621,0.824653
6313,0.884000
6435,0.961494
6970,0.839366
6310,0.930789
5932,0.926995
6877,0.911508
6763,0.940646
7085,0.870752
7049,0.865281
6959,0.811931
5214,0.946120
6350,0.857845
5063,0.930118
5041,0.923876
6942,0.851439
5086,0.882021
5270,0.876365
6705,0.894463
7051,0.937093
6758,0.806673
6249,0.760841
5808,0.801460
5377,0.894048
5446,0.906708
5856,0.839936
7001,0.876175
4986,0.770073
6677,0.732924
6665,0.935797
5817,0.926093
6984,0.821092
6541,0.858688
5117,0.937411
6097,0.870200
5389,0.970271
7219,0.900700
6338,0.798550
6922,0.773441
5367,0.774276
5638,0.785491
5830,0.921665
5338,0.896714
6007,0.921232
6612,0.857900
5718,0.917399
6104,0.886323
5229,0.832869
5963,0.886362
5206,0.859372
6625,0.905233
4990,0.872395
6641,0.865381
5369,0.878195
6196,0.915406
5236,0.888582
5719,0.731277
5643,0.841808
7050,0.790119
6355,0.783881
6688,0.884675
6239,0.778865
5531,0.902164
6113,0.735898
7181,0.825822
6118,0.852819
7264,0.931434
5343,0.935921
5051,0.921579
5779,0.941454
6605,0.836766
6655,0.836092
6534,0.908500
5681,0.943353
6607,0.822668
6242,0.904276
7242,0.924078
7277,0.918008
6675,0.911266
5398,0.835708
5956,0.839168
5731,0.869174
6437,0.926897
6956,0.839207
5447,0.888518
5973,0.887921
6075,0.937676
5281,0.820796
5103,0.905431
6468,0.818587
7209,0.872805
5584,0.932931
4988,0.783559
4962,0.859655
5651,0.928296
6502,0.854788
5862,0.846671
7199,0.858223
6727,0.800541
7279,0.943028
6544,0.896461
5933,0.934971
6574,0.974773
6399,0.889105
7187,0.938885
6353,0.908835
5043,0.883366
5469,0.606035
5976,0.926266
6059,0.826856
5799,0.870494
6147,0.824497
6254,0.829790
7100,0.814397
7147,0.840381
7037,0.820313
5909,0.876430
5782,0.940447
6237,0.803701
6552,0.830870
7067,0.912000
5320,0.844591
5930,0.943871
6486,0.802109
5245,0.809005
6643,0.937608
5260,0.885482
5569,0.873708
7110,0.893950
7139,0.829547
6791,0.717554
5360,0.896209
5287,0.942703
6553,0.737628
7072,0.918050
6044,0.812351
5332,0.943576
6866,0.771252
6633,0.921447
6926,0.928933
6442,0.866679
5889,0.909554
5765,1.000000
5124,0.859192
5491,0.705512
6730,0.736436
7151,0.874439
5140,0.850602
7171,0.916369
6568,0.828703
6861,0.862193
6855,0.886003
7129,0.821120
5384,0.830248
6859,0.863681
5772,0.936650
5665,0.927040
6495,0.938686
5061,0.817847
6948,0.874774
5773,0.904742
6052,0.881824
6682,0.818693
6083,0.872204
6962,0.836745
5158,0.889064
6464,0.957298
5172,0.838112
5582,1.000000
6508,0.769398
4968,0.772088
6136,0.839589
6235,0.929874
6632,0.833681
7195,0.890682
5525,0.842087
6320,0.836018
6766,0.933169
6872,0.741829
5906,0.815542
7172,0.952684
6571,0.924519
5616,0.746430
6470,0.878836
6312,0.922165
5147,0.783319
5501,0.907270
6436,0.868316
5699,0.916666
5313,0.925002
6234,0.955290
6569,0.918217
7202,0.893454
5683,0.888459
5034,0.931406
5435,0.896296
5815,0.895022
5589,0.791570
6746,0.844106
6790,0.947030
6857,0.836280
6450,0.740455
7221,0.761391
5527,0.849048
5620,0.972450
7167,0.923747
6215,0.938815
5823,0.877913
6207,0.830210
6932,0.941103
5669,1.000000
5154,0.845760
7168,0.856252
5585,0.840203
6539,0.916682
7200,0.927952
5015,0.778454
5042,0.895086
5774,0.891034
6357,0.893169
5354,0.871055
6054,0.723565
7295,0.836101
5365,0.799729
6755,0.871998
5991,0.894179
7035,0.862715
5893,0.804627
7164,0.863827
5304,0.913067
5561,0.928488
5520,0.897511
5241,0.871114
7096,0.837385
6078,0.884325
5046,0.779117
5334,0.863516
6969,0.966866
6821,0.795001
5760,0.945099
5614,0.827096
7091,0.882802
5698,0.850239
5169,0.881611
7294,0.934204
5318,0.767307
5368,0.861759
6923,0.861600
5463,0.921264
5265,0.922140
6321,0.970830
5226,0.848860
6868,0.895545
4967,0.830444
5293,0.844858
5865,0.897188
5841,0.939360
5526,0.923895
6852,0.846509
6469,0.972568
6168,0.951531
7292,0.809317
5036,0.871825
5644,0.765625
6856,0.809617
5428,0.848354
5027,0.853391
4989,0.897602
5221,0.957170
6402,0.895048
5346,0.792668
6748,0.834135
